created_at,sportsbook,sport,league,event_name,event_start_date,market_name,bet_name,odds,clv,stake,potential_payout,status,bet_type,bet_profit,notes,is_live_bet,is_free_bet,is_odds_boost,percentage,market_width,saved_filter_name,parlay_id
"04/05/2023, 00:11 EDT",Hard Rock,baseball,MLB,Cleveland Guardians vs Oakland Athletics,"04/05/2023, 15:37 EDT",1st Half Total Runs,Under 4.5,-110.0,-108.0,33.0,63.0,won,positive_ev,30.0,,False,False,False,3.0,17,Baseball,
"04/05/2023, 00:12 EDT",FanDuel,baseball,MLB,New York Mets vs Milwaukee Brewers,"04/05/2023, 13:40 EDT",Total Runs,Over 11.5,430.0,330.0,20.0,106.0,won,positive_ev,86.0,,False,False,False,7.75,151,Baseball,
"04/05/2023, 00:14 EDT",FanDuel,tennis,WTA,Shelby Rogers vs Caty McNally,"04/05/2023, 19:00 EDT",Game Spread,Shelby Rogers -3.5,-106.0,-142.0,90.0,174.91,pending,positive_ev,0.0,,False,False,False,4.12,19,Baseball,
"04/05/2023, 00:15 EDT",FanDuel,baseball,MLB,Philadelphia Phillies vs New York Yankees,"04/05/2023, 13:05 EDT",1st Inning Total Runs,Over 0.5,126.0,138.0,30.0,67.8,won,positive_ev,37.8,,False,False,False,3.38,18,Baseball,
"04/05/2023, 00:22 EDT",Hard Rock,baseball,MLB,Toronto Blue Jays vs Kansas City Royals,"04/05/2023, 19:40 EDT",Total Runs,Over 9.5,130.0,140.0,15.0,34.5,lost,positive_ev,-15.0,,False,False,False,1.53,15,Baseball,
"04/05/2023, 00:22 EDT",FanDuel,baseball,MLB,Cleveland Guardians vs Oakland Athletics,"04/05/2023, 15:37 EDT",Player Bases,Amed Rosario Over 1.5,125.0,115.0,25.0,56.25,pending,positive_ev,0.0,,False,False,False,2.45,34,Baseball,
"04/05/2023, 00:23 EDT",FanDuel,baseball,MLB,Chicago Cubs vs Cincinnati Reds,"04/05/2023, 12:35 EDT",1st Inning Total Runs,Over 0.5,108.0,110.0,25.0,52.0,pending,positive_ev,0.0,,False,False,False,2.22,16,Baseball,
"04/05/2023, 00:23 EDT",FanDuel,baseball,MLB,Pittsburgh Pirates vs Boston Red Sox,"04/05/2023, 13:35 EDT",1st Inning Total Runs,Over 0.5,-111.0,-104.0,20.0,38.02,lost,positive_ev,-20.0,,False,False,False,1.47,18,Baseball,
"04/05/2023, 00:24 EDT",FanDuel,baseball,MLB,Detroit Tigers vs Houston Astros,"04/05/2023, 14:10 EDT",Total Runs,Over 11.5,430.0,356.0,15.0,79.5,lost,positive_ev,-15.0,,False,False,False,5.86,158,Baseball,
"04/05/2023, 00:25 EDT",Barstool,baseball,MLB,San Francisco Giants vs Chicago White Sox,"04/05/2023, 14:10 EDT",1st Inning Total Runs,Over 0.5,116.0,129.0,11.74,25.36,won,positive_ev,13.62,,False,False,False,1.49,17,Baseball,
"04/05/2023, 00:26 EDT",FanDuel,baseball,MLB,Detroit Tigers vs Houston Astros,"04/05/2023, 14:10 EDT",1st Inning Total Runs,Over 0.5,112.0,111.0,25.0,53.0,lost,positive_ev,-25.0,,False,False,False,2.24,16,Baseball,
"04/05/2023, 00:27 EDT",FanDuel,baseball,MLB,Detroit Tigers vs Houston Astros,"04/05/2023, 14:10 EDT",Player Bases,Alex Bregman Over 1.5,140.0,140.0,20.0,48.0,pending,positive_ev,0.0,,False,False,False,2.59,42,Baseball,
"04/05/2023, 00:27 EDT",Hard Rock,baseball,MLB,Pittsburgh Pirates vs Boston Red Sox,"04/05/2023, 13:35 EDT",Run Line,Pittsburgh Pirates -1.5,210.0,212.0,15.0,46.5,won,positive_ev,31.5,,False,False,False,2.41,42,Baseball,
"04/05/2023, 00:28 EDT",FanDuel,baseball,MLB,Los Angeles Angels vs Seattle Mariners,"04/05/2023, 16:10 EDT",Total Runs,Under 5.5,196.0,203.0,10.0,29.6,lost,positive_ev,-10.0,,False,False,False,1.53,27,Baseball,
"04/05/2023, 00:43 EDT",PointsBet (Indiana),basketball,NBA,New York Knicks vs Indiana Pacers,"04/05/2023, 19:00 EDT",Moneyline,Indiana Pacers,330.0,182.0,5.0,21.5,lost,positive_ev,-5.0,,False,False,False,6.6,55,8 bookies only,
