created_at,sportsbook,sport,league,event_name,event_start_date,market_name,bet_name,odds,clv,stake,potential_payout,status,bet_type,bet_profit,notes,is_live_bet,is_free_bet,is_odds_boost,percentage,market_width,saved_filter_name,parlay_id
"04/05/2023, 17:39 EDT",FanDuel,baseball,MLB,Toronto Blue Jays vs Kansas City Royals,"04/05/2023, 19:40 EDT",Player Strikeouts,Alek Manoah Over 6.5,154.0,149.0,10.0,25.4,lost,positive_ev,-10.0,,False,False,False,1.61,46,Baseball,
"04/05/2023, 17:42 EDT",FanDuel,basketball,NBA,New York Knicks vs Indiana Pacers,"04/05/2023, 19:10 EDT",Moneyline,Indiana Pacers,172.0,182.0,20.0,54.4,lost,positive_ev,-20.0,,False,False,False,2.03,18,,
"04/05/2023, 17:44 EDT",Barstool,baseball,MLB,Toronto Blue Jays vs Kansas City Royals,"04/05/2023, 19:40 EDT",Player Bases,Bo Bichette Under 1.5,110.0,103.0,2.48,5.21,pending,positive_ev,0.0,,False,False,False,2.99,30,,
"04/05/2023, 17:52 EDT",FanDuel,basketball,NBA,Toronto Raptors vs Boston Celtics,"04/05/2023, 19:40 EDT",Moneyline,Toronto Raptors,118.0,-117.0,15.0,32.7,lost,positive_ev,-15.0,,False,False,False,1.39,20,,
"04/05/2023, 17:53 EDT",Barstool,hockey,NHL,Ottawa Senators vs Florida Panthers,"04/06/2023, 19:00 EDT",Total Goals,Over 8,215.0,192.0,7.63,24.03,pending,positive_ev,0.0,,False,False,False,3.5,45,,
"04/05/2023, 17:56 EDT",Barstool,hockey,NHL,Columbus Blue Jackets vs New Jersey Devils,"04/06/2023, 19:00 EDT",Total Goals,Over 7,190.0,111.0,8.63,25.03,pending,positive_ev,0.0,,False,False,False,50.75,16,,
"04/05/2023, 17:57 EDT",Barstool,hockey,NHL,Columbus Blue Jackets vs New Jersey Devils,"04/06/2023, 19:00 EDT",Total Goals,Over 8,375.0,221.0,5.47,25.98,pending,positive_ev,0.0,,False,False,False,42.22,51,,
"04/05/2023, 17:59 EDT",Barstool,hockey,NHL,Ottawa Senators vs Florida Panthers,"04/06/2023, 19:00 EDT",1st Period Moneyline,Ottawa Senators,180.0,168.0,6.07,17.0,pending,positive_ev,0.0,,False,False,False,3.28,25,,
"04/05/2023, 18:10 EDT",FanDuel,soccer,Germany - Bundesliga,FC Bayern Munich vs TSG 1899 Hoffenheim,"04/15/2023, 09:30 EDT",Team Total,FC Bayern Munich Over 3.5,172.0,151.0,40.0,108.8,pending,positive_ev,0.0,,False,False,False,5.72,37,,
"04/05/2023, 18:13 EDT",BetMGM,basketball,NBA,Sacramento Kings vs Dallas Mavericks,"04/05/2023, 20:40 EDT",1st Half Total Points,Over 123.5,-110.0,-113.0,25.0,47.73,won,positive_ev,22.73,,False,False,False,1.8,15,,
"04/05/2023, 18:15 EDT",BetMGM,basketball,NBA,Sacramento Kings vs Dallas Mavericks,"04/05/2023, 20:40 EDT",Player Points,Luka Doncic Over 32.5,-115.0,-131.0,25.12,46.96,lost,positive_ev,-25.12,,False,False,False,2.69,37,,
"04/05/2023, 18:16 EDT",FanDuel,basketball,NBA,Toronto Raptors vs Boston Celtics,"04/05/2023, 19:40 EDT",Player Made Threes,Scottie Barnes Under 0.5,-122.0,-127.0,25.0,45.49,lost,positive_ev,-25.0,,False,False,False,1.58,43,,
"04/05/2023, 18:16 EDT",DraftKings,basketball,NBA,Toronto Raptors vs Boston Celtics,"04/05/2023, 19:40 EDT",Player Points + Rebounds + Assists,Scottie Barnes Under 25.5,120.0,107.0,20.0,44.0,lost,positive_ev,-20.0,,False,False,False,1.77,31,,
"04/05/2023, 18:20 EDT",FanDuel,basketball,NBA,Brooklyn Nets vs Detroit Pistons,"04/05/2023, 19:10 EDT",Player Rebounds,Nic Claxton Over 10.5,122.0,106.0,20.0,44.4,lost,positive_ev,-20.0,,False,False,False,2.12,31,,
"04/05/2023, 18:20 EDT",Hard Rock,basketball,NBA,Washington Wizards vs Atlanta Hawks,"04/05/2023, 19:40 EDT",Player Points + Rebounds + Assists,Corey Kispert Under 23.5,-115.0,-110.0,12.93,24.17,won,positive_ev,11.24,,False,False,False,1.42,29,,
"04/05/2023, 18:21 EDT",FanDuel,basketball,NBA,Toronto Raptors vs Boston Celtics,"04/05/2023, 19:40 EDT",Player Assists,Jaylen Brown Over 5.5,150.0,129.0,20.0,50.0,lost,positive_ev,-20.0,,False,False,False,2.28,46,,
"04/05/2023, 18:22 EDT",BetMGM,basketball,NBA,Chicago Bulls vs Milwaukee Bucks,"04/05/2023, 19:40 EDT",1st Half Total Points,Over 113.5,120.0,111.0,20.0,44.0,lost,positive_ev,-20.0,,False,False,False,1.91,15,,
"04/05/2023, 18:22 EDT",BetMGM,basketball,NBA,Washington Wizards vs Atlanta Hawks,"04/05/2023, 19:40 EDT",1st Half Total Points,Over 112.5,-120.0,-136.0,20.0,36.67,won,positive_ev,16.67,,False,False,False,1.21,16,,
"04/05/2023, 18:23 EDT",BetMGM,basketball,NBA,Sacramento Kings vs Dallas Mavericks,"04/05/2023, 20:40 EDT",1st Half Moneyline,Sacramento Kings,180.0,170.0,15.0,42.0,won,positive_ev,27.0,,False,False,False,1.98,24,,
"04/05/2023, 18:23 EDT",FanDuel,basketball,NBA,Washington Wizards vs Atlanta Hawks,"04/05/2023, 19:40 EDT",Point Spread,Atlanta Hawks -11.5,-110.0,-117.0,15.0,28.64,won,positive_ev,13.64,,False,False,False,1.27,14,,
"04/05/2023, 18:24 EDT",BetMGM,basketball,NBA,Chicago Bulls vs Milwaukee Bucks,"04/05/2023, 19:40 EDT",1st Half Moneyline,Chicago Bulls,165.0,149.0,15.0,39.75,won,positive_ev,24.75,,False,False,False,1.89,20,,
"04/05/2023, 18:25 EDT",BetMGM,baseball,MLB,Toronto Blue Jays vs Kansas City Royals,"04/05/2023, 19:40 EDT",Player Hits,Alejandro Kirk Under 0.5,190.0,207.0,2.87,8.32,lost,positive_ev,-2.87,,False,False,False,1.77,53,,
"04/05/2023, 18:26 EDT",Hard Rock,baseball,MLB,Toronto Blue Jays vs Kansas City Royals,"04/05/2023, 19:40 EDT",Player Bases,Alejandro Kirk Over 1.5,160.0,162.0,10.0,26.0,pending,positive_ev,0.0,,False,False,False,1.32,54,,
"04/05/2023, 18:27 EDT",FanDuel,basketball,NBA,Toronto Raptors vs Boston Celtics,"04/05/2023, 19:40 EDT",Player Points + Rebounds + Assists,Fred VanVleet Over 31.5,110.0,100.0,15.0,31.5,lost,positive_ev,-15.0,,False,False,False,1.43,30,,
"04/05/2023, 18:42 EDT",FanDuel,basketball,NBA,Washington Wizards vs Atlanta Hawks,"04/05/2023, 19:40 EDT",Player Rebounds,Saddiq Bey Over 5.5,120.0,-102.0,120.0,264.0,lost,positive_ev,-120.0,,False,False,False,11.59,34,,
"04/05/2023, 18:45 EDT",FanDuel,basketball,NBA,Brooklyn Nets vs Detroit Pistons,"04/05/2023, 19:10 EDT",Player Rebounds,Eugene Omoruyi Over 4.5,100.0,-114.0,30.0,60.0,lost,positive_ev,-30.0,,False,False,False,4.44,33,,
"04/05/2023, 18:48 EDT",Hard Rock,basketball,NBA,Washington Wizards vs Atlanta Hawks,"04/05/2023, 19:40 EDT",Player Rebounds,Saddiq Bey Under 5.5,110.0,102.0,13.64,28.64,won,positive_ev,15.0,,False,False,False,4.2,30,,
"04/05/2023, 18:53 EDT",DraftKings,baseball,MLB,San Diego Padres vs Atlanta Braves,"04/06/2023, 19:20 EDT",1st Inning Total Runs,Over 0.5,130.0,109.0,10.81,24.86,pending,positive_ev,0.0,,False,False,False,9.01,16,,
"04/05/2023, 19:34 EDT",FanDuel,baseball,MLB,Boston Red Sox vs Detroit Tigers,"04/06/2023, 13:10 EDT",Total Runs,Over 11.5,350.0,346.0,20.0,90.0,lost,positive_ev,-20.0,,False,False,False,5.47,96,Worth Time,
"04/05/2023, 19:46 EDT",FanDuel,baseball,MLB,Toronto Blue Jays vs Kansas City Royals,"04/06/2023, 14:10 EDT",Total Runs,Over 12.5,370.0,374.0,20.0,94.0,pending,positive_ev,0.0,,False,False,False,6.63,109,Worth Time,
"04/05/2023, 19:55 EDT",FanDuel,baseball,MLB,San Francisco Giants vs Chicago White Sox,"04/06/2023, 14:10 EDT",Total Runs,Over 11.5,360.0,360.0,20.0,92.0,pending,positive_ev,0.0,,False,False,False,5.41,115,Worth Time,
"04/05/2023, 22:28 EDT",Hard Rock,baseball,MLB,San Diego Padres vs Atlanta Braves,"04/06/2023, 19:20 EDT",Total Runs,Under 7.5,115.0,146.0,70.0,150.5,pending,positive_ev,0.0,,False,False,False,6.29,13,8 bookies only,
"04/05/2023, 22:30 EDT",Barstool,hockey,NHL,Ottawa Senators vs Florida Panthers,"04/06/2023, 19:00 EDT",Puck Line,Ottawa Senators -1.5,510.0,478.0,3.21,19.58,pending,positive_ev,0.0,,False,False,False,7.25,192,8 bookies only,
"04/05/2023, 22:32 EDT",FanDuel,basketball,Euroleague,Cazoo Baskonia vs LDLC ASVEL,"04/06/2023, 15:00 EDT",Moneyline,LDLC ASVEL,820.0,927.0,5.0,46.0,pending,positive_ev,0.0,,False,False,False,4.69,284,,
"04/05/2023, 22:40 EDT",FanDuel,baseball,MLB,Toronto Blue Jays vs Kansas City Royals,"04/06/2023, 14:10 EDT",Run Line,Kansas City Royals -1.5,360.0,373.0,10.0,46.0,pending,positive_ev,0.0,,False,False,False,3.19,109,Baseball,
"04/05/2023, 23:46 EDT",FanDuel,soccer,Germany - Bundesliga,FC Bayern Munich vs TSG 1899 Hoffenheim,"04/15/2023, 09:30 EDT",Total Goals,Over 4.5,182.0,162.0,45.0,126.9,pending,positive_ev,0.0,,False,False,False,3.12,44,8 bookies only,
"04/05/2023, 23:56 EDT",Hard Rock,baseball,MLB,Washington Nationals vs Colorado Rockies,"04/06/2023, 16:10 EDT",Total Runs,Under 12,-140.0,-146.0,160.0,274.29,pending,positive_ev,0.0,,False,False,False,4.57,21,8 bookies only,
